channel,ABB,BBB,broken_cells_per_ml,lysis_efficiency_pct
1,66396330.0,230313416.66666666,163917086.66666666,71.17131474103586
3,13136456.666666666,258675083.33333334,245538626.6666667,94.92163818123186
4,23059703.333333332,376292583.3333333,353232880.0,93.87186876524054
5,6286280.0,493075916.6666667,486789636.6666667,98.72508881745897
7,8014673.333333333,395144750.0,387130076.6666667,97.97171205404265
8,6199526.666666667,417166750.0,410967223.3333333,98.51389722055588
