channel,sample_type,mean_cells_per_ml,sd_cells_per_ml,n_replicates,sample_id,counts_per_ml_million
1,MC,22582560.0,405775.57137535734,3,ch1_MC,22.58256
3,MC,21306285.0,193648.87664275256,3,ch3_MC,21.306285
4,MC,23098075.0,159140.112086799,3,ch4_MC,23.098075
5,MC,35368666.666666664,824555.0791386445,3,ch5_MC,35.36866666666666
7,MC,31528163.333333332,418159.68780877587,3,ch7_MC,31.52816333333333
8,MC,29332636.666666668,146462.18422628136,3,ch8_MC,29.33263666666667
