sample_id,sample_rep_id,sample_type,channel,replicate,mean_diameter,peak_diameter,sample_dilution,measurement_name,sample_volume,casyton_volume,measurement_volume,counts,counts_per_ul_casy_vial,counts_per_ul_diluted_sample,counts_per_ul_original_sample,counts_per_ml_original_sample
ch3_MC_4,ch3_MC_4_r2,MC,3,2,2.0157,1.743,1,4,10,10000,200,4225,21.125,21146.125,21146.125,21146125.0
ch3_MC_4,ch3_MC_4_r3,MC,3,3,2.0111,1.802,1,4,10,10000,200,4300,21.5,21521.5,21521.5,21521500.0
ch8_MC_1,ch8_MC_1_r1,MC,8,1,1.8531,1.675,1,1,10,10000,200,5853,29.265,29294.265,29294.265,29294265.0
ch8_MC_1,ch8_MC_1_r2,MC,8,2,1.8673,1.685,1,1,10,10000,200,5836,29.18,29209.18,29209.18,29209180.0
ch8_MC_1,ch8_MC_1_r3,MC,8,3,1.8504,1.714,1,1,10,10000,200,5893,29.465,29494.465,29494.465,29494465.0
ch1_ABB_5,ch1_ABB_5_r1,ABB,1,1,2.0373,1.509,2,5,10,10000,200,6623,33.115,33148.115000000005,66296.23000000001,66296230.00000001
ch1_ABB_5,ch1_ABB_5_r2,ABB,1,2,2.0472,1.47,2,5,10,10000,200,6567,32.835,32867.835,65735.67,65735670.0
ch1_ABB_5,ch1_ABB_5_r3,ABB,1,3,2.0445,1.489,2,5,10,10000,200,6709,33.545,33578.545,67157.09,67157090.0
ch1_BBB_6,ch1_BBB_6_r1,BBB,1,1,2.0537,1.841,50,6,10,10000,200,954,4.77,4774.7699999999995,238738.49999999997,238738499.99999997
ch1_BBB_6,ch1_BBB_6_r2,BBB,1,2,2.0209,1.802,50,6,10,10000,200,889,4.445,4449.445000000001,222472.25000000003,222472250.00000003
ch1_BBB_6,ch1_BBB_6_r3,BBB,1,3,2.0337,1.782,50,6,10,10000,200,918,4.59,4594.59,229729.5,229729500.0
ch1_MC_4,ch1_MC_4_r1,MC,1,1,2.0498,1.772,1,4,10,10000,200,4573,22.865,22887.864999999998,22887.864999999998,22887864.999999996
ch1_MC_4,ch1_MC_4_r2,MC,1,2,2.0372,1.733,1,4,10,10000,200,4543,22.715,22737.715,22737.715,22737715.0
ch1_MC_4,ch1_MC_4_r3,MC,1,3,2.0549,1.792,1,4,10,10000,200,4420,22.1,22122.100000000002,22122.100000000002,22122100.000000004
