protein
P74464
Q55901
Q55680
P73300
P73111
Q59977
P24602
P73553
P14835
P73817
P27178
P72956
Q55671
P38382
P73598
Q55389
P74429
P74251
P74433
P73605
P72932
Q55505
P73652
Q54735
P72864
P74478
Q55453
P73493
P27589
P74326
P73175
P73489
P74109
P73628
P26533
Q55778
P73886
P36265
P73626
P74342
P73480
P74447
Q55483
P72856
P72720
P74558
P73882
P73960
P73601
P74518
P73681
Q55457
P72712
Q55894
P55037
P74725
P73410
P73056
P74155
P74339
P73672
P74756
P74214
P48576
P74465
P74470
P73198
P73790
P72661
P74727
P73424
P73243
P48958
P74060
Q55412
Q55791
P73655
P73935
Q46363
P72808
P74184
P74682
Q6YRW7
P73879
P54148
P73196
P74124
P74317
P73328
P72704
P72817
Q55650
Q55794
P73801
Q55807
P74708
P73244
Q59992
Q55660
P72986
P72834
P72756
P73472
P73984
P72675
P74564
P74176
P73954
Q55584
P73211
P74772
Q55484
P72776
Q55862
Q55499
Q6ZES9
P73720
Q55160
P73292
P73008
P73213
Q55450
P73735
P72710
Q55780
Q55746
P72753
P74069
P73619
P23353
Q55497
P73004
P74685
P54147
P72699
P74027
Q55790
Q55716
P73873
Q55653
Q57473
P73602
Q55984
Q55679
Q57208
Q55487
P73509
Q55900
Q6ZEU6
Q6ZEK3
P73680
Q55187
Q55786
Q55848
P73010
P73445
P74440
P74454
P74500
P48944
Q55403
P73796
P74395
P73129
P74506
Q55470
Q6ZEF5
Q55887
P73257
P73068
P73769
P53383
P52276
P72807
P73145
P74154
P73826
Q6YRT3
P49995
Q55954
Q55527
Q55712
P72942
P73689
Q55752
Q55549
P58236
Q55551
Q55582
P73560
P73867
P37979
P74182
Q55906
Q55787
P72896
Q55141
P73934
P74582
Q55875
P74705
Q6ZEL9
P73035
P73040
Q59987
P73668
Q55150
P72780
P73058
Q6ZE43
P72794
P74503
P72939
Q55729
P74686
Q6ZEI8
Q6ZED8
Q55843
P73155
P73170
P74303
P73050
P72595
P73845
P74605
P74232
P74577
Q55847
Q55804
P74747
P73365
P73385
P72810
P73661
P74698
Q6ZEW5
P73264
P74162
P73288
P73862
Q55422
P72985
P77960
P74473
P26525
P74645
P73413
P74208
Q55507
P74528
P73473
P73393
P73618
Q55690
P72964
P73921
P74186
P74021
P55175
P73096
P26522
Q55513
Q6YRP4
Q55929
P73982
P74129
P0DJF8
P33779
Q55709
P73861
P72886
P72839
Q6ZEQ5
Q55624
P72764
P73627
P73548
P54902
P72845
P73200
Q55870
P73617
P74701
P73441
P72893
P73526
P73616
P72775
Q55730
Q55196
P73785
Q55195
Q55199
Q55200
P74614
P74554
P73736
Q6ZER7
P74285
Q6ZEQ9
Q55610
Q55155
P73537
P73770
Q57310
P72623
P29254
P74667
P73016
P73437
Q55766
P73098
Q6YRU7
P73103
P73407
P72890
Q55564
P74690
P73597
P72827
P74416
P73711
Q55367
P74569
P74510
Q55469
Q55835
P73173
P37277
P29255
P19569
P74737
P73596
P73636
P73505
Q6YRS9
P73412
P74668
P29256
P72688
Q55898
Q55727
P72929
P54123
P73411
P32422
Q55662
P49433
P72758
P74702
P73566
Q55598
Q55445
P73450
Q55753
P74135
P73020
P74625
P73307
P73409
Q55466
P74367
Q6YRV3
P27183
P73875
P16033
P73317
P74102
P73456
P73534
P74314
Q01950
Q55374
P09190
P73704
P73304
P73558
P73471
P73574
Q55738
Q55087
Q55700
P73293
P27181
P72866
P73316
P72851
P72849
Q55131
P74729
P48949
P72871
P73654
P74226
Q55318
P54384
Q55176
Q55233
P74177
P74720
P73821
P73853
Q55171
P73298
P09193
P74384
P73299
Q55665
P72797
P73603
P73309
P80507
Q55436
Q55432
P51634
P36239
P74228
P74534
P73253
Q55641
P72874
P74230
P73069
P73311
Q55522
P74070
P27179
P73306
P73201
P73952
P73913
P73452
P73294
Q55375
Q55118
P74607
P77962
P72805
Q59993
P74061
P55038
P72700
P73849
P74459
P73303
Q55776
P73308
P74299
P72707
P74142
P74281
P73319
P77973
P54416
Q05972
P48959
P72584
P52415
Q6ZEA8
P74296
Q55511
P17253
P72689
P74266
P72854
P74229
P22034
P72798
P28371
P29107
P09192
P73851
P74360
P73546
P73810
P74175
Q55247
P73312
P77965
P74008
P73914
P73789
P36236
P48957
P74466
P73334
P74421
P73289
P26287
P73310
P80505
Q55544
Q55480
P74358
P74750
P74643
P72848
P72649
P77969
P73296
P74689
Q57038
Q55514
P74457
P73204
P73297
P05429
Q55707
P48939
P73315
P73418
P72656
P48946
P74467
P73946
P73320
P73722
P52208
Q55517
Q55366
P73313
P22358
P12975
P72659
P37101
P73606
P74275
P73833
P72683
Q55664
P73348
Q55828
P73093
P36237
P73728
