uniprot_id,gene_name,log2FoldChange,padj,direction,avg_ratio,ratio_count,description_clean
P74518,lrtA,-1.5526958489929357,8.328980170096871e-29,Downregulated,,0.0,HPF_SYNY3 Ribosome hibernation promotion factor
P73702,sll1696,1.5578653874007655,2.433267037152742e-28,Upregulated,,,
P74650,sll0720,7.415462408524227,2.443476852263862e-28,Upregulated,,,
P74586,ddh,1.3988486461115357,3.962752626097654e-28,Upregulated,,,
P74258,otsA,1.2417294354932356,5.507775844615923e-28,Upregulated,,,
P73318,rpl23,-1.2183582651726566,7.427305584185131e-28,Downregulated,-0.2169913057654016,3.0,RL23_SYNY3 50S ribosomal protein L23
P73350,livH,-1.3096885251494417,2.891996110643121e-27,Downregulated,,,
P73315,rpl22,-1.2589717081394145,3.2633583169418256e-27,Downregulated,-0.0094312259328273,3.0,RL22_SYNY3 50S ribosomal protein L22
P72809,pleD,-1.0400319078466251,3.88742997915177e-27,Downregulated,,,
Q6YRW5,slr6039,2.00093761453952,6.0156573189318285e-27,Upregulated,,,
Q55583,slr0366,1.4573591144630875,1.4841751523128712e-26,Upregulated,,,
Q6YRW1,slr6043,1.6138367559897502,1.770437753339657e-26,Upregulated,,,
P09192,psbD2,-1.2216720920926245,8.025964253771161e-26,Downregulated,0.0953640223332566,3.0,PSBD_SYNY3 Photosystem II D2 protein
P36239,rpl19,-1.0262246854708823,8.116035680174375e-26,Downregulated,0.2022682226805028,3.0,RL19_SYNY3 50S ribosomal protein L19
P73196,lig,-1.4537183029304923,1.8413609418459832e-25,Downregulated,,0.0,P73196_SYNY3 DNA ligase
P73306,rpl6,-1.219407665386366,3.755892904618442e-25,Downregulated,0.1758276018665222,3.0,RL6_SYNY3 50S ribosomal protein L6
Q6YRT5,sll6010,1.8368243735336311,4.408335516071806e-25,Upregulated,,,
P23350,rpl10,-1.0700532946432653,9.100432706089283e-25,Downregulated,-0.2377275060166197,3.0,RL10_SYNY3 50S ribosomal protein L10
P77971,sll0944,1.6180630048701092,1.0285629477345164e-24,Upregulated,,,
P73889,slr0270,-1.3536532933130212,1.573992805806299e-24,Downregulated,,,
Q55778,gltX,-1.0846071691713497,1.5946500843153072e-24,Downregulated,,0.0,SYE_SYNY3 Glutamate--tRNA ligase
P73662,pta,1.3327785841775182,2.1655662248907214e-24,Upregulated,,,
Q55193,sll0686,1.6771876790624525,2.5487196763820213e-24,Upregulated,,,
P73843,sll1611,1.1039176066537584,3.8824923415997965e-24,Upregulated,,,
P73309,rpl24,-1.1416537916097624,1.2475715886236987e-23,Downregulated,0.224020357039682,3.0,RL24_SYNY3 50S ribosomal protein L24
P74723,slr0587,-1.0875688398196484,1.820189916264928e-23,Downregulated,,,
P48958,rpl33,-1.0319046121052096,2.7023222150728925e-23,Downregulated,,0.0,RL33_SYNY3 50S ribosomal protein L33
Q55434,sll0821,-1.0374153801253578,5.757613186549027e-23,Downregulated,,,
P74025,sll1220,1.1743605759833626,6.261012002444311e-23,Upregulated,,,
Q55728,dacB,1.144535384812377,7.313653977067873e-23,Upregulated,,,
P73873,sll0253,-1.5945587820575746,8.319408923080356e-23,Downregulated,,0.0,P73873_SYNY3 Sll0253 protein
Q6YRT5,sll6069,1.844539817640679,1.0051930464285142e-22,Upregulated,,,
P73270,speB,-1.449592963772976,1.4462075580465762e-22,Downregulated,,,
Q55410,sll0540,1.6212460094274546,2.6097984039345196e-22,Upregulated,,,
P74529,slr1424,-1.2345194987683104,4.390286230884299e-22,Downregulated,,,
Q6ZE74,sll8018,1.4037488202804174,5.089492566585426e-22,Upregulated,,,
P73316,rps19,-1.2563011117690883,6.9314531447434465e-22,Downregulated,0.3305204986315976,3.0,RS19_SYNY3 30S ribosomal protein S19
P73604,slr1853,1.2833040007349945,7.4385065972259865e-22,Upregulated,-0.0728657311575976,3.0,P73604_SYNY3 Slr1853 protein
P73311,rps17,-1.2354410402268856,8.119625459249919e-22,Downregulated,0.184917077351026,3.0,RS17_SYNY3 30S ribosomal protein S17
P73603,slr1852,1.2526959192690836,8.310861096981407e-22,Upregulated,0.2286991086614313,3.0,P73603_SYNY3 Slr1852 protein
Q55388,sll0556,-1.0384756022570805,8.576267271315742e-22,Downregulated,,,
P73303,rpl15,-1.0423836643894833,1.39093920304685e-21,Downregulated,0.1423597855615965,3.0,RL15_SYNY3 50S ribosomal protein L15
P73826,fabG,1.1092970776389712,1.5346179268669464e-21,Upregulated,,0.0,PHAB_SYNY3 Acetoacetyl-CoA reductase
P74257,glpD,1.2156804947676472,1.8175071091375877e-21,Upregulated,,,
P74024,hoxF,1.1781576268382787,1.8833247746356963e-21,Upregulated,,,
P73313,rpl16,-1.2808650896277929,2.131711776411736e-21,Downregulated,-0.0244724013533775,3.0,RL16_SYNY3 50S ribosomal protein L16
Q6ZED5,sll7063,-1.2139318109369523,3.75558127122442e-21,Downregulated,,,
P74360,sll1526,-1.1534868308158095,7.564349418915648e-21,Downregulated,0.0801395135803151,3.0,Y1526_SYNY3 Uncharacterized protein sll1526
